PP,Demand,Wind
0.10762925682415878,5.1812925,7.355375890250837
0.9233146302466173,5.380152,6.461152931387906
1.7802438682894108,5.5193615,5.420662421107993
1.080534374481057,5.5495245,6.478770988099781
0.9297484397801016,5.5377875,6.680352593499041
3.225367897215414,5.537142,3.351418232827781
4.867613808500473,5.577153,1.028631033233449
5.077471471818565,5.581966,0.7313742976883308
4.826959885520844,5.598156,1.1180161230575467
3.683272401089936,5.6702955,2.8806211795739456
4.297103820974704,5.707148,2.0441650269208704
3.464216653895977,5.8269325,3.4252693444683993
2.2897351341067878,5.8182075,5.115286396873945
2.880664295218831,5.799185,4.231029100493522
2.9454224242040095,5.615506,3.870865569510367
2.32004584426944,5.4350925,4.515936113846742
2.086115620844111,5.2260445,4.552008296312184
2.783256532301572,5.017342,3.238791697318443
2.417796929791783,4.9159815,3.621660657680847
0.7336547383193942,4.8547755,5.974458855221648
2.6070825557172946e-10,4.850867,8.233588483546335
2.5762641478011494e-10,5.01094,9.6750241041312
0.4789228270182134,5.356994,7.071822739646725
2.6286373090344323e-10,5.748379,8.907137991861019
2.567067708542701e-10,6.332911,10.759113493338262
2.5557719648945365e-10,6.547105,11.450526467156365
2.5629195018662084e-10,6.657469,11.171159600801342
0.2875267783080932,6.6575585,9.23474332045762
1.3844570639802167,6.6089965,7.574103672924528
2.1703504020572097,6.6832435,6.5424178738665955
3.1480581733959676,6.693432,5.13978873189305
3.637570266267995,6.6709505,4.397542912990164
3.7723921356655303,6.6305265,4.143485995774343
4.051858235312117,6.48294,3.5243805793209613
3.6661698710416313,6.340855,3.877536519386111
2.596812681105529,6.3048125,5.375550398655185
0.21328010873686457,6.203755,8.68449332840801
2.547015708058136e-10,6.0597745,11.741782338800043
2.582001369518808e-10,5.8152055,9.79881078868933
0.41429904172129534,5.5715965,7.47662183414403
0.31477844831813967,5.3437935,7.290648647674521
2.624485938707778e-10,5.1509455,8.214272719869307
2.57281875863359e-10,5.0201845,9.848087676682432
2.5966728252845365e-10,4.9418225,8.67715374750366
2.6724643146580484e-10,4.921411,7.475058006034638
2.5983328608551803e-10,4.9904145,8.635183119773272
2.535869296244211e-10,5.14312,11.963682642493456
2.541214127224326e-10,5.361266,11.738708420165802
2.578878428630858e-10,6.314333,10.329170027292475
2.6068309830735347e-10,6.5265695,10.102131475535407
2.608914499963848e-10,6.6164045,9.776876146607925
2.618536123707286e-10,6.5876975,10.052788900321785
0.10017308586422252,6.534213,9.327537085684284
1.0399536522278447,6.615147,8.082452612269984
1.6109862789965663,6.658895,7.318039121458364
1.9115074624050452,6.684675,6.919742155432726
2.6280836570403e-10,6.6672475,9.936351981287888
2.5187035210795087e-10,6.517024,14.501139447288494
2.521917139451728e-10,6.379447,13.982322841491666
2.5105189070687057e-10,6.380824,17.647200729147045
2.510126288809775e-10,6.3046115,17.369847364528297
2.509687364369874e-10,6.147336,16.656795436527396
2.5126925283423487e-10,5.848286,14.963716558233001
2.512564246087175e-10,5.5683705,14.708830560485152
2.5153026120872866e-10,5.3475235,14.04286480158478
2.513232237748333e-10,5.1561985,14.195657140463805
2.5112817841810367e-10,5.051575,14.447483101190464
2.5254377797073945e-10,4.994721,12.66679783996482
2.5482141387335726e-10,4.9965225,11.112694778430098
2.561243720778206e-10,5.159787,10.493468529929098
2.523799247084904e-10,5.524473,13.183672117106724
2.5239289809562663e-10,5.9367045,13.455412396629836
