region,group,scenario,capex_2022,capex_2030,capex_2040,capex_2050
KOR,0,high,3669.233985,2157.843571,1845.220745,1534.097811
KOR,1,high,3669.233985,2157.843571,1845.220745,1534.097811
KOR,2,high,3669.233985,2157.843571,1845.220745,1534.097811
KOR,3,high,3669.233985,2157.843571,1845.220745,1534.097811
KOR,4,high,3669.233985,2157.843571,1845.220745,1534.097811
KOR,5,high,3669.233985,2157.843571,1845.220745,1534.097811
KOR,6,high,3669.233985,2157.843571,1845.220745,1534.097811
KOR,7,high,3669.233985,2157.843571,1845.220745,1534.097811
KOR,8,high,3669.233985,2157.843571,1845.220745,1534.097811
KOR,9,high,3669.233985,2157.843571,1845.220745,1534.097811
