uid,cost,emissions,EL_Transport
S-30,413.7935952577719,1169.9999999761205,13.651668722029898
S-0,467.46490588526035,418.3952942526103,14.470375748302255
S-10,448.95548303028323,585.5014101399621,14.31554215676656
S-60,393.5981648649541,1759.9999998926862,12.145143326359163
S-40,410.0576681111939,1259.999999980334,13.523182852502535
S-BAU,571.0163746167432,2.2081123660864783e-05,15.494765438325492
S-90,379.6387292189949,2509.9999997668624,11.610162253477052
S-50,396.0724737180543,1669.9999999647614,12.439305441470477
S-70,386.35732154489256,2089.9999999433057,11.802481897105812
S-20,430.38357031715935,836.7905889895036,13.894989175793096
S-80,382.0552518492879,2339.9999998203425,11.68132335687417
