uid,cost,emissions,EL_Transport
S-30,547.877044779412,877.5493843625316,14.639982663280405
S-0,649.1909069834278,274.9373478770074,15.748656890293411
S-10,592.4775871941375,549.874620380435,15.046913694818604
S-60,502.34741585395125,1650.000037490645,13.308481675435743
S-40,528.9156197259925,1100.0000757770265,14.13424954819673
S-BAU,785.3715651822259,0.0002597870186613397,14.148411702071455
S-90,489.79676948361976,2200.0000305706108,11.634656502299913
S-50,514.061701529911,1370.000066096503,13.575044478676718
S-70,499.05737126905376,1760.0000426952413,12.64850784454722
S-20,553.5791894289812,824.8119297741864,14.731891399228493
S-80,495.234089920364,1920.0000250585977,12.291627345398137
