uid,cost,emissions,EL_Transport
S-30,697.0863811958739,1140.0000030945719,9.221753966057253
S-0,796.4838221364776,380.4998055852156,10.549032008124597
S-10,737.3002270917708,760.9996002183004,9.483458183497447
S-60,646.4512654105107,2040.0000001805065,9.743608506468368
S-40,669.1259469924092,1520.0000013786787,9.169654977197304
S-BAU,933.0411541792673,2.6472205957838993e-05,13.166097295755973
S-90,616.6223828619902,3039.9999999966844,11.946669394725312
S-50,651.8339704022817,1900.0000001519295,9.401815242311589
S-70,637.9948354766685,2280.0000001118256,9.840731428452234
S-20,708.0987907194562,1020.000003362916,8.944317157471783
S-80,626.186418192721,2660.0000001217413,11.196120755706191
