uid,cost,emissions,EL_Transport
S-30,1655.2777416222407,2130.000004242403,10.236816414206462
S-0,1949.5885340112493,531.3275297981182,10.152283434859125
S-10,1806.9325427360982,1060.0000120379939,9.35408082960979
S-60,1576.5667279238394,3190.0000001598446,11.547970867436293
S-40,1608.5666727630846,2660.0000015509304,11.123763000170008
S-BAU,2198.702095072614,1.9667752212235252e-05,5.798119781656154
S-90,1518.899196794562,4779.999999973294,11.687620622627666
S-50,1608.5666727630846,2660.0000015509304,11.123763000170008
S-70,1552.8815519329858,3719.9999999837596,11.624957008817658
S-20,1716.7078676448248,1590.000004095374,10.436623709119212
S-80,1533.854217631573,4249.999999993853,11.650970849727411
