uid,cost,emissions,EL_Transport
S-30,1469.699872948136,1890.0000001795022,14.492021310740466
S-0,1795.4343979493678,472.03567467419674,19.460667826858508
S-10,1626.764739660697,944.071339620912,16.02833332496097
S-60,1382.230043515529,2829.99999999378,13.77106881438998
S-40,1431.637692349873,2219.9999999904003,14.34727748435918
S-BAU,2070.363333729184,1.155733097863098e-05,21.303210299650832
S-90,1317.3072510612903,4249.999999994752,12.188891424336044
S-50,1418.5865180632097,2359.9999999987062,14.078204606915516
S-70,1355.227604354825,3299.999999984365,13.581754209685563
S-20,1535.4133929138159,1420.0000005320621,15.434224559882356
S-80,1334.7316405907784,3779.9999999808765,13.18187634248539
